------------------------------------------------------------------------------
lr=0.0001, momentum=0.9, weight_decay=0.01 dropout=0.5

Fold 1/5
Epoch [30/30], Train Loss: 0.0978, Train Acc: 0.9670, Val Loss: 0.1627, Val Acc: 0.9518, F1 Score: 0.9517, Recall: 0.9532, Precision: 0.9520, Sensitivity: 0.9815, Specificity: 0.9250, MCC: 0.9053, AUC: 0.9532
Fold 4/5
Epoch [1/30], Train Loss: 2.6043, Train Acc: 0.4336, Val Loss: 0.4720, Val Acc: 0.7797, F1 Score: 0.7788, Recall: 0.7811, Precision: 0.7784, Sensitivity: 0.7680, Specificity: 0.7941, MCC: 0.5595, AUC: 0.7811
Epoch [2/30], Train Loss: 0.4377, Train Acc: 0.8134, Val Loss: 0.4070, Val Acc: 0.8150, F1 Score: 0.8043, Recall: 0.7995, Precision: 0.8422, Sensitivity: 0.9520, Specificity: 0.6471, MCC: 0.6403, AUC: 0.7995
Epoch [3/30], Train Loss: 0.3655, Train Acc: 0.8463, Val Loss: 0.2763, Val Acc: 0.8590, F1 Score: 0.8570, Recall: 0.8558, Precision: 0.8588, Sensitivity: 0.8880, Specificity: 0.8235, MCC: 0.7146, AUC: 0.8558
Epoch [4/30], Train Loss: 0.2780, Train Acc: 0.8891, Val Loss: 0.2460, Val Acc: 0.8987, F1 Score: 0.8980, Recall: 0.8999, Precision: 0.8971, Sensitivity: 0.8880, Specificity: 0.9118, MCC: 0.7970, AUC: 0.8999
Epoch [5/30], Train Loss: 0.2454, Train Acc: 0.8957, Val Loss: 0.2147, Val Acc: 0.9119, F1 Score: 0.9114, Recall: 0.9137, Precision: 0.9104, Sensitivity: 0.8960, Specificity: 0.9314, MCC: 0.8241, AUC: 0.9137
Epoch [6/30], Train Loss: 0.2302, Train Acc: 0.9045, Val Loss: 0.2302, Val Acc: 0.8899, F1 Score: 0.8896, Recall: 0.8937, Precision: 0.8897, Sensitivity: 0.8560, Specificity: 0.9314, MCC: 0.7833, AUC: 0.8937
Epoch [7/30], Train Loss: 0.2078, Train Acc: 0.9144, Val Loss: 0.2505, Val Acc: 0.9339, F1 Score: 0.9329, Recall: 0.9310, Precision: 0.9358, Sensitivity: 0.9600, Specificity: 0.9020, MCC: 0.8667, AUC: 0.9310
Epoch [8/30], Train Loss: 0.1835, Train Acc: 0.9319, Val Loss: 0.2064, Val Acc: 0.9163, F1 Score: 0.9146, Recall: 0.9114, Precision: 0.9209, Sensitivity: 0.9600, Specificity: 0.8627, MCC: 0.8322, AUC: 0.9114
Epoch [9/30], Train Loss: 0.1708, Train Acc: 0.9341, Val Loss: 0.1730, Val Acc: 0.9383, F1 Score: 0.9376, Recall: 0.9368, Precision: 0.9385, Sensitivity: 0.9520, Specificity: 0.9216, MCC: 0.8753, AUC: 0.9368
Epoch [10/30], Train Loss: 0.1474, Train Acc: 0.9517, Val Loss: 0.1673, Val Acc: 0.9163, F1 Score: 0.9156, Recall: 0.9168, Precision: 0.9148, Sensitivity: 0.9120, Specificity: 0.9216, MCC: 0.8316, AUC: 0.9168
Epoch [11/30], Train Loss: 0.1415, Train Acc: 0.9451, Val Loss: 0.1760, Val Acc: 0.9295, F1 Score: 0.9287, Recall: 0.9279, Precision: 0.9296, Sensitivity: 0.9440, Specificity: 0.9118, MCC: 0.8574, AUC: 0.9279
Epoch [12/30], Train Loss: 0.1423, Train Acc: 0.9462, Val Loss: 0.1765, Val Acc: 0.9383, F1 Score: 0.9376, Recall: 0.9368, Precision: 0.9385, Sensitivity: 0.9520, Specificity: 0.9216, MCC: 0.8753, AUC: 0.9368
